! Auto-generated by Reform.

MD5	fc65ad8d4588da92fd39871f6f7463db
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'
				! 'script' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'remove' noun 'with' noun
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'get' noun 'with' noun
				! 'carry'/'hold'/'take' multi
				! 'carry'/'hold'/'take' noun 'with' noun
Action 16	Drop		! 'pitch' multiheld
				! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'cover' multiexcept 'with' noun
				! 'cover' 'up' multiexcept 'with' noun
				! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
				! 'put' noun 'over' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine66796
				! 'go'/'run'/'walk' noun=routine66796
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
Action 38	SwitchOff	! 'cover' 'off' noun
				! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'close'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'cover' noun
				! 'cover' 'up' noun
				! 'close'/'shut' noun
				! 'close'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' 'up' noun 'with' noun
				! 'dig' 'in' noun 'with' noun
				! 'dig' noun 'with' noun
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun 'with' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'tie' noun
				! 'attach'/'fasten'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 66	Attack		! 'kick' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' noun
				! 'blow' 'out' noun
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun 'with' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' special
				! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'pump' noun
				! 'move'/'press'/'push'/'shift' noun
				! 'move'/'press'/'push'/'shift' noun 'with' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'pitch' held 'at'/'against'/'on'/'onto' noun
				! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	Version		! 'version'
Action 95	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 96	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 97	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 98	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 99	Swear		! 'curse'/'cuss'/'swear'
				! 'curse'/'cuss'/'swear' 'at' noun
Action 100	Beetlebaum	! 'beetlebau'
Action 101	Blizzard	! 'blizzard'
Action 102	Untie		! 'free'/'loosen'/'untie' noun
Action 103	Sharpen		! 'hone'/'sharpen' noun 'with' noun
				! 'hone'/'sharpen' noun 'on' noun
Action 104	Tear		! 'tear' noun
				! 'tear' 'up' noun
Action 105	Shoot		! 'shoot' noun
				! 'shoot' noun 'with' noun
Action 106	Lift		! 'lift'
				! 'lift' noun
				! 'lift' 'up' noun
				! 'lift' noun 'with' noun
Action 107	Chew		! 'chew' noun
Action 108	Dehlila		! 'dehlila'
Action 109	Shake		! 'shake'
				! 'shake' noun
Action 110	Ride		! 'ride' noun
Action 111	Xyzzy		! 'xyzzy'
Action 112	Play		! 'play'
				! 'play' noun
Action 113	Read		! 'read' noun
Action 114	Clear		! 'pitch' noun 'with' noun
				! 'clear' noun 'with' noun
Action 115	Stronger	! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' special
Action 116	Milder		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' special
Action 117	Answer2		! 'answer'/'say'/'shout'/'speak' special
Action 118	Mix		! 'mix'/'stir' noun 'with' noun
Action 119	Zhelp		! 'help'
Action 120	Pet		! 'pet' noun
Action 121	Oil		! 'oil' noun 'with' noun
Action 122	Repair		! 'repair' noun 'with' noun
				! 'fix' noun 'with' noun
Action 123	Pry		! 'jimmy'/'pry' noun 'with' noun
				! 'jimmy'/'pry' noun
Action 124	Smoke		! 'smoke' noun
Action 125	Turn_right	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'right'
Action 126	Turn_left	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'left'
Action 127	Sneeze		! 'sneeze'
Action 128	Plant		! 'plant' noun
				! 'plant' noun 'in' noun
Action 129	Scrape		! 'scrape' noun
				! 'scrape' noun 'with' noun
				! 'scrape' 'off' noun 'with' noun
Action 130	Poke		! 'poke' noun 'with' noun

Word	accordion	accordion
Word	bartender	bartender
Word	beaver	beaver
Word	beetlebau	beetlebau
Word	cauldrons	cauldrons
Word	chokecher	chokecher
Word	clear	clear
Word	concealed	concealed
Word	contrapti	contrapti
Word	customers	customers
Word	cylindric	cylindric
Word	derringer	derringer
Word	detonator	detonator
Word	droppings	droppings
Word	enclosure	enclosure
Word	equipment	equipment
Word	everythin	everythin
Word	floorboar	floorboar
Word	footprint	footprint
Word	fullscore	fullscore
Word	gatewoods	gatewoods
Word	graveston	graveston
Word	herringvi	herringvi
Word	impressio	impressio
Word	inventory	inventory
Word	lettering	lettering
Word	magazines	magazines
Word	magnetite	magnetite
Word	mainr	mainr
Word	mechanica	mechanica
Word	mosquitoe	mosquitoe
Word	mosquitos	mosquitos
Word	nitroglyc	nitroglyc
Word	northeast	northeast
Word	northwest	northwest
Word	pitchfork	pitchfork
Word	rattlesna	rattlesna
Word	rotted	rotted
Word	saddlebag	saddlebag
Word	sagebrush	sagebrush
Word	scratches	scratches
Word	seventeen	seventeen
Word	shitkicke	shitkicke
Word	six-shoo	six-shoo
Word	something	something
Word	southeast	southeast
Word	southwest	southwest
Word	splotches	splotches
Word	squeezebo	squeezebo
Word	strongbox	strongbox
Word	structure	structure
Word	superbrie	superbrie
Word	thumbwhee	thumbwhee
Word	tombstone	tombstone
Word	track	track
Word	trystaniu	trystaniu
Word	tumblewee	tumblewee
Word	unattende	unattende
Word	wildflowe	wildflowe
Word	wristwatc	wristwatc
Word	yellowish	yellowish

Routine 0x6dd0	routine28112:?
Routine 0x6dd8	routine28120:?
Routine 0x6de4	routine28132:?
Routine 0x6de8	routine28136:?
Routine 0x6e0c	routine28172:?
Routine 0x6eac	routine28332:?
Routine 0x7084	routine28804:?
Routine 0x70bc	routine28860:?
Routine 0x70f8	routine28920:?
Routine 0x710c	routine28940:?
Routine 0x7120	routine28960:?
Routine 0x7130	routine28976:?
Routine 0x7144	routine28996:?
Routine 0x715c	routine29020:?
Routine 0x962c	routine38444:?
Routine 0x9638	routine38456:?
Routine 0x9644	routine38468:?
Routine 0x9650	routine38480:?
Routine 0x9670	routine38512:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x9700	routine38656:?
Routine 0x9708	routine38664:?
Routine 0x985c	routine39004:?
Routine 0x9f64	routine40804:?
Routine 0x9f90	routine40848:?
Routine 0x9fac	routine40876:?
Routine 0xa0dc	routine41180:?
Routine 0xa0f4	routine41204:?
Routine 0xa138	routine41272:?
Routine 0xa574	routine42356:?
Routine 0xa988	routine43400:?
Routine 0xac2c	routine44076:?
Routine 0xacfc	routine44284:?
Routine 0xae58	routine44632:?
Routine 0xaea0	routine44704:?
Routine 0xaf80	routine44928:?
Routine 0xaff8	routine45048:?
Routine 0xb048	routine45128:?
Routine 0xb07c	routine45180:?
Routine 0xb0cc	routine45260:?
Routine 0xb0f4	routine45300:?
Routine 0xb10c	routine45324:?
Routine 0xb13c	routine45372:?
Routine 0xb1d0	routine45520:?
Routine 0xb1e4	routine45540:?
Routine 0xb200	routine45568:?
Routine 0xb278	routine45688:?
Routine 0xb2a8	routine45736:?
Routine 0xb378	routine45944:?
Routine 0xb39c	routine45980:?
Routine 0xb3e8	routine46056:?
Routine 0xb508	routine46344:?
Routine 0xb560	routine46432:?
Routine 0xb58c	routine46476:?
Routine 0xb5bc	routine46524:?
Routine 0xb604	routine46596:?
Routine 0xb650	routine46672:?
Routine 0xb668	routine46696:?
Routine 0xb680	routine46720:?
Routine 0xb68c	routine46732:?
Routine 0xb788	routine46984:?
Routine 0xb790	routine46992:?
Routine 0xb7d8	routine47064:?
Routine 0xb7ec	routine47084:?
Routine 0xb800	routine47104:?
Routine 0xb81c	routine47132:?
Routine 0xb87c	PronounsSub:?
Routine 0xb928	routine47400:?
Routine 0xb95c	routine47452:?
Routine 0xb98c	routine47500:?
Routine 0xb994	routine47508:?
Routine 0xb9c0	routine47552:?
! References: obj22__Inform_Library_.play
Routine 0xba28	routine47656:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xbdd0	routine48592:?
! References: obj22__Inform_Library_.begin_action
Routine 0xbea4	routine48804:?
Routine 0xbee8	routine48872:?
Routine 0xbf08	routine48904:?
Routine 0xbf50	routine48976:?
Routine 0xbf8c	routine49036:?
Routine 0xbfd4	routine49108:?
Routine 0xc010	routine49168:?
Routine 0xc01c	routine49180:?
Routine 0xc040	routine49216:?
Routine 0xc0a0	routine49312:?
Routine 0xc0c0	routine49344:?
Routine 0xc0e4	routine49380:?
Routine 0xc0f4	routine49396:?
Routine 0xc150	routine49488:?
Routine 0xc184	routine49540:?
Routine 0xc1d8	routine49624:?
Routine 0xc200	routine49664:?
Routine 0xc21c	routine49692:?
Routine 0xc230	routine49712:?
Routine 0xc24c	routine49740:?
Routine 0xc294	routine49812:?
Routine 0xc2e8	routine49896:?
Routine 0xc370	routine50032:?
Routine 0xc3fc	routine50172:?
Routine 0xc484	routine50308:?
Routine 0xc52c	routine50476:?
Routine 0xc71c	routine50972:?
Routine 0xc7d8	routine51160:?
Routine 0xc868	routine51304:?
Routine 0xc8a8	routine51368:?
Routine 0xc8cc	routine51404:?
Routine 0xc8f0	routine51440:?
Routine 0xc904	routine51460:?
Routine 0xc90c	routine51468:?
Routine 0xc93c	routine51516:?
Routine 0xc958	routine51544:?
Routine 0xc988	routine51592:?
Routine 0xca38	VersionSub:?
Routine 0xca7c	routine51836:?
Routine 0xcaa8	PlacesSub:?
Routine 0xcab0	ObjectsSub:?
Routine 0xcab8	routine51896:?
