! Auto-generated by Reform.

MD5	4c48ba2c5523d78c5f7f9b7809d16b1d
Routine 0x7bc8	routine31688:?
Routine 0x7c18	routine31768:?
Routine 0x7c3c	routine31804:?
Routine 0x7ff8	routine32760:?
Routine 0x84bc	routine33980:?
Routine 0x8770	routine34672:?
Routine 0x884c	routine34892:?
Routine 0x89b8	routine35256:?
Routine 0x8a04	routine35332:?
Routine 0x8a40	routine35392:?
Routine 0x8b34	routine35636:?
Routine 0x8bac	routine35756:?
Routine 0x8bfc	routine35836:?
Routine 0x8c30	routine35888:?
Routine 0x8c80	routine35968:?
Routine 0x8ca8	routine36008:?
Routine 0x8cc4	routine36036:?
Routine 0x8cf4	routine36084:?
Routine 0x8d90	routine36240:?
Routine 0x8da4	routine36260:?
Routine 0x8dc0	routine36288:?
Routine 0x8e44	routine36420:?
Routine 0x8e74	routine36468:?
Routine 0x8f5c	routine36700:?
Routine 0x8f80	routine36736:?
Routine 0x8fcc	routine36812:?
Routine 0x90f0	routine37104:?
Routine 0x9148	routine37192:?
Routine 0x9174	routine37236:?
Routine 0x91a4	routine37284:?
Routine 0x91ec	routine37356:?
Routine 0x9224	routine37412:?
Routine 0x923c	routine37436:?
Routine 0x9254	routine37460:?
Routine 0x9260	routine37472:?
Routine 0x935c	routine37724:?
Routine 0x9364	routine37732:?
Routine 0x93ac	routine37804:?
Routine 0x93c0	routine37824:?
Routine 0x93d4	routine37844:?
Routine 0x93f0	routine37872:?
Routine 0x9444	PronounsSub:?
Routine 0x94f0	routine38128:?
Routine 0x9524	routine38180:?
Routine 0x9554	routine38228:?
Routine 0x955c	routine38236:?
Routine 0x9588	routine38280:?
! References: obj22__Inform_Library_.play
Routine 0x95f0	routine38384:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0x992c	routine39212:?
! References: obj22__Inform_Library_.begin_action
Routine 0x99e4	routine39396:?
Routine 0x9a18	routine39448:?
Routine 0x9a24	routine39460:?
Routine 0x9acc	routine39628:?
Routine 0x9aec	routine39660:?
Routine 0x9b14	routine39700:?
Routine 0x9b5c	routine39772:?
Routine 0x9b98	routine39832:?
Routine 0x9be0	routine39904:?
Routine 0x9c1c	routine39964:?
Routine 0x9c28	routine39976:?
Routine 0x9c4c	routine40012:?
Routine 0x9cac	routine40108:?
Routine 0x9ccc	routine40140:?
Routine 0x9cf0	routine40176:?
Routine 0x9d00	routine40192:?
Routine 0x9d5c	routine40284:?
Routine 0x9d94	routine40340:?
Routine 0x9de4	routine40420:?
Routine 0x9e0c	routine40460:?
Routine 0x9e28	routine40488:?
Routine 0x9e3c	routine40508:?
Routine 0x9e58	routine40536:?
Routine 0x9ea0	routine40608:?
Routine 0x9ef4	routine40692:?
Routine 0x9f24	routine40740:?
Routine 0x9fc0	routine40896:?
Routine 0xa034	routine41012:?
Routine 0xa0d8	routine41176:?
Routine 0xa198	routine41368:?
Routine 0xa230	routine41520:?
Routine 0xa270	routine41584:?
Routine 0xa294	routine41620:?
Routine 0xa2b8	routine41656:?
Routine 0xa2cc	routine41676:?
Routine 0xa2d4	routine41684:?
Routine 0xa304	routine41732:?
Routine 0xa320	routine41760:?
Routine 0xa350	routine41808:?
! References: Character.SetQuip, obj78_Ms__Empirious.SetQuip, obj79_Ed_Dibbles.SetQuip, obj80_Ms__Reunite.SetQuip, obj81_Ms__Picasso.SetQuip, obj83_Silas_Gibber.SetQuip, obj84_Ms__Garrulous.SetQuip, obj85_Danielle_DeJonses.SetQuip, obj86_Ms__Fuerstein.SetQuip, obj87_Andrea.SetQuip, obj88_Joanie.SetQuip, obj90_Alexis.SetQuip, obj91_Stephanie.SetQuip, obj92_Alicia_Aronstein.SetQuip, obj93_Queenie.SetQuip, obj94_Judy.SetQuip, obj95_Mr__Pisces.SetQuip, obj96_Meghan_Mascaras.SetQuip, obj97_Mr__Alltext.SetQuip, obj98_Jim_Hastely.SetQuip, obj99_Mr__McDell.SetQuip, obj100_tall_woman.SetQuip
Routine 0xa434	routine42036:?
! References: Character.QuipOn, obj78_Ms__Empirious.QuipOn, obj79_Ed_Dibbles.QuipOn, obj80_Ms__Reunite.QuipOn, obj81_Ms__Picasso.QuipOn, obj83_Silas_Gibber.QuipOn, obj84_Ms__Garrulous.QuipOn, obj85_Danielle_DeJonses.QuipOn, obj86_Ms__Fuerstein.QuipOn, obj87_Andrea.QuipOn, obj88_Joanie.QuipOn, obj90_Alexis.QuipOn, obj91_Stephanie.QuipOn, obj92_Alicia_Aronstein.QuipOn, obj93_Queenie.QuipOn, obj94_Judy.QuipOn, obj95_Mr__Pisces.QuipOn, obj96_Meghan_Mascaras.QuipOn, obj97_Mr__Alltext.QuipOn, obj98_Jim_Hastely.QuipOn, obj99_Mr__McDell.QuipOn, obj100_tall_woman.QuipOn
Routine 0xa4c8	routine42184:?
! References: Character.QuipOff, obj78_Ms__Empirious.QuipOff, obj79_Ed_Dibbles.QuipOff, obj80_Ms__Reunite.QuipOff, obj81_Ms__Picasso.QuipOff, obj83_Silas_Gibber.QuipOff, obj84_Ms__Garrulous.QuipOff, obj85_Danielle_DeJonses.QuipOff, obj86_Ms__Fuerstein.QuipOff, obj87_Andrea.QuipOff, obj88_Joanie.QuipOff, obj90_Alexis.QuipOff, obj91_Stephanie.QuipOff, obj92_Alicia_Aronstein.QuipOff, obj93_Queenie.QuipOff, obj94_Judy.QuipOff, obj95_Mr__Pisces.QuipOff, obj96_Meghan_Mascaras.QuipOff, obj97_Mr__Alltext.QuipOff, obj98_Jim_Hastely.QuipOff, obj99_Mr__McDell.QuipOff, obj100_tall_woman.QuipOff
Routine 0xa4d4	routine42196:?
! References: Character.QuipsOn, obj78_Ms__Empirious.QuipsOn, obj79_Ed_Dibbles.QuipsOn, obj80_Ms__Reunite.QuipsOn, obj81_Ms__Picasso.QuipsOn, obj83_Silas_Gibber.QuipsOn, obj84_Ms__Garrulous.QuipsOn, obj85_Danielle_DeJonses.QuipsOn, obj86_Ms__Fuerstein.QuipsOn, obj87_Andrea.QuipsOn, obj88_Joanie.QuipsOn, obj90_Alexis.QuipsOn, obj91_Stephanie.QuipsOn, obj92_Alicia_Aronstein.QuipsOn, obj93_Queenie.QuipsOn, obj94_Judy.QuipsOn, obj95_Mr__Pisces.QuipsOn, obj96_Meghan_Mascaras.QuipsOn, obj97_Mr__Alltext.QuipsOn, obj98_Jim_Hastely.QuipsOn, obj99_Mr__McDell.QuipsOn, obj100_tall_woman.QuipsOn
Routine 0xa4e0	routine42208:?
! References: Character.QuipsOff, obj78_Ms__Empirious.QuipsOff, obj79_Ed_Dibbles.QuipsOff, obj80_Ms__Reunite.QuipsOff, obj81_Ms__Picasso.QuipsOff, obj83_Silas_Gibber.QuipsOff, obj84_Ms__Garrulous.QuipsOff, obj85_Danielle_DeJonses.QuipsOff, obj86_Ms__Fuerstein.QuipsOff, obj87_Andrea.QuipsOff, obj88_Joanie.QuipsOff, obj90_Alexis.QuipsOff, obj91_Stephanie.QuipsOff, obj92_Alicia_Aronstein.QuipsOff, obj93_Queenie.QuipsOff, obj94_Judy.QuipsOff, obj95_Mr__Pisces.QuipsOff, obj96_Meghan_Mascaras.QuipsOff, obj97_Mr__Alltext.QuipsOff, obj98_Jim_Hastely.QuipsOff, obj99_Mr__McDell.QuipsOff, obj100_tall_woman.QuipsOff
Routine 0xa550	routine42320:?
! References: Character.TestQuip, obj78_Ms__Empirious.TestQuip, obj79_Ed_Dibbles.TestQuip, obj80_Ms__Reunite.TestQuip, obj81_Ms__Picasso.TestQuip, obj83_Silas_Gibber.TestQuip, obj84_Ms__Garrulous.TestQuip, obj85_Danielle_DeJonses.TestQuip, obj86_Ms__Fuerstein.TestQuip, obj87_Andrea.TestQuip, obj88_Joanie.TestQuip, obj90_Alexis.TestQuip, obj91_Stephanie.TestQuip, obj92_Alicia_Aronstein.TestQuip, obj93_Queenie.TestQuip, obj94_Judy.TestQuip, obj95_Mr__Pisces.TestQuip, obj96_Meghan_Mascaras.TestQuip, obj97_Mr__Alltext.TestQuip, obj98_Jim_Hastely.TestQuip, obj99_Mr__McDell.TestQuip, obj100_tall_woman.TestQuip
Routine 0xa5c0	routine42432:?
Routine 0xa624	routine42532:?
! References: Character.Respond
Routine 0xa638	routine42552:?
! References: Character.InitQuips
Routine 0xa658	routine42584:?
Routine 0xa670	TalkToSub:?
Routine 0xa6b0	routine42672:?
Routine 0xa704	routine42756:?
Routine 0xa7cc	PlacesSub:?
Routine 0xa7d4	ObjectsSub:?
Routine 0xa7dc	routine42972:?
Routine 0xa860	VersionSub:?
Routine 0xa8e8	routine43240:?
Routine 0xa914	routine43284:?
Routine 0xa958	routine43352:?
Routine 0xa978	routine43384:?
Routine 0xa9cc	routine43468:?
Routine 0xaa1c	routine43548:?
Routine 0xaa88	routine43656:?
Routine 0xaaa0	routine43680:?
Routine 0xaac8	routine43720:?
Routine 0xb108	routine45320:?
Routine 0xb164	routine45412:?
Routine 0xb418	routine46104:?
Routine 0xb49c	routine46236:?
Routine 0xb4d8	routine46296:?
Routine 0xb4e8	routine46312:?
