! Auto-generated by Reform.

MD5	5bcd91ee055e9bd42812617571be227b
Action 29	Action29	! 'burn'/'ignite'/'incine' 'down'/'d//' attrib26(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib25(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite'/'incine' attrib26(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib25(held,carried,in_room,on_ground,have)
				! 'light' attrib31(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib25(held,carried,take,have)
Action 30	Action30	! 'barf'/'chomp'/'lose'
Action 31	Action31	! 'climb'/'sit' 'up'/'u//' attrib23(in_room,on_ground)
				! 'climb'/'sit' 'up'/'u//' attrib24
				! 'go'/'procee'/'run'/'step'/'walk' 'up'/'u//' attrib23(in_room,on_ground)
Action 32	Action32	! 'climb'/'sit' 'down'/'d//' attrib23(in_room,on_ground)
				! 'climb'/'sit'
				! 'go'/'procee'/'run'/'step'/'walk' 'down'/'d//' attrib23(in_room,on_ground)
Action 33	Action33	! 'climb'/'sit' attrib23(in_room,on_ground)
Action 34	Action34	! 'climb'/'sit' 'onto'/'on' attrib27(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'onto'/'on' attrib27(in_room,on_ground)
Action 35	Action35	! 'climb'/'sit' 'with'/'using'/'thru'/'throug' object
				! 'enter' object
				! 'go'/'procee'/'run'/'step'/'walk' 'onto'/'on' object
				! 'go'/'procee'/'run'/'step'/'walk' 'with'/'using'/'thru'/'throug' object
				! 'go'/'procee'/'run'/'step'/'walk' 'into'/'inside'/'in' object
Action 36	Action36	! 'close' attrib22(held,carried,in_room,on_ground)
Action 37	Action37	! 'comman' attrib30
Action 38	Action38	! 'count' object
Action 39	Action39	! 'cross'/'ford' object
Action 40	Action40	! 'cut'/'pierce'/'slice' object 'with'/'using'/'thru'/'throug' attrib29(held,carried)
Action 41	Action41	! 'curse'/'damn'/'fuck'/'shit' attrib30
				! 'curse'/'damn'/'fuck'/'shit'
Action 42	Action42	! 'deflat' object
Action 43	Action43	! 'block'/'break'/'damage'/'destro'/'smash' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object(held,carried,take)
				! 'block'/'break'/'damage'/'destro'/'smash' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object(held,carried,take)
				! 'poke' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'punctu' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
Action 44	Action44	! 'block'/'break'/'damage'/'destro'/'smash' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
				! 'open' attrib22(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,have)
				! 'open' 'up'/'u//' attrib22(held,carried,in_room,on_ground)
				! 'open' attrib22(held,carried,in_room,on_ground)
Action 45	Action45	! 'dig' 'into'/'inside'/'in' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,have)
				! 'dig' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,have)
				! 'dig' 'into'/'inside'/'in' object
Action 46	Action46	! 'disemb' attrib27(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'out' attrib27(in_room,on_ground)
Action 47	Action47	! 'disenc' object
Action 48	Action48	! 'drink'/'imbibe'/'swallo' attrib21(held,carried,in_room,on_ground)
Action 49	Action49	! 'drink'/'imbibe'/'swallo' 'from' object(held,carried)
Action 50	Action50	! 'drop'/'releas' object(held,many,have)
				! 'leave' object
				! 'pour'/'spill' object(held,carried) 'from' object
				! 'pour'/'spill' object(held,carried) 'into'/'inside'/'in' object
				! 'pour'/'spill' object(held,carried)
				! 'hide'/'insert'/'place'/'put'/'stuff' 'down'/'d//' object(held,many)
Action 51	Action51	! 'drop'/'releas' object(held,many,have) 'onto'/'on' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'onto'/'on' object
Action 52	Action52	! 'bite'/'consum'/'eat'/'taste' attrib20(held,carried,in_room,on_ground,take)
Action 53	Action53	! 'echo'
Action 54	Action54	! 'enchan' object(in_room,on_ground)
Action 55	Action55	! 'enter'
Action 56	Action56	! 'exit' object
				! 'exit'
Action 57	Action57	! 'descri'/'examin'/'what'/'whats' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many)
Action 58	Action58	! 'descri'/'examin'/'what'/'whats' 'onto'/'on' object(held,carried,in_room,on_ground,many)
				! 'descri'/'examin'/'what'/'whats' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'with'/'using'/'thru'/'throug' object(held,carried,in_room,on_ground,many)
Action 59	Action59	! 'banish'/'begone'/'cast'/'drive'/'exorci' 'away' attrib30
				! 'banish'/'begone'/'cast'/'drive'/'exorci' 'out' attrib30
				! 'banish'/'begone'/'cast'/'drive'/'exorci' object
Action 60	Action60	! 'fill' attrib18(held,carried,in_room,on_ground,take,have)
				! 'fill' attrib18(held,carried,in_room,on_ground,take,have) 'with'/'using'/'thru'/'throug' object
Action 61	Action61	! 'find'/'see'/'seek'/'where' object
				! 'gaze'/'l//'/'look'/'stare' 'for' object
				! 'search' 'for' object
Action 62	Action62	! 'chase'/'come'/'follow'/'pursue' object
				! 'chase'/'come'/'follow'/'pursue'
Action 63	Action63	! 'froboz'
Action 64	Action64	! 'donate'/'feed'/'give'/'offer' object(held,many,have) 'to' attrib30(on_ground)
				! 'hand' object(held,many,have) 'to' attrib30(on_ground)
Action 65	Action65	! 'donate'/'feed'/'give'/'offer' attrib30(on_ground) object(held,many,have)
				! 'hand' attrib30(on_ground) object(held,many,have)
Action 66	Action66	! 'hatch' object
Action 67	Action67	! 'hello'/'hi' object
				! 'hello'/'hi'
Action 68	Action68	! 'chant'/'incant'
Action 69	Action69	! 'is' object 'onto'/'on' object
				! 'is' object 'into'/'inside'/'in' object
Action 70	Action70	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in' object
				! 'dive'/'jump'/'leap' 'across' object
				! 'dive'/'jump'/'leap' 'over' object
				! 'dive'/'jump'/'leap'
				! 'go'/'procee'/'run'/'step'/'walk' 'over' object
Action 71	Action71	! 'kick'/'taunt' object
Action 72	Action72	! 'stab' attrib30(in_room,on_ground)
Action 73	Action73	! 'kiss' attrib30(in_room,on_ground)
Action 74	Action74	! 'knock'/'rap' 'onto'/'on' object
				! 'knock'/'rap' 'at' object
Action 75	Action75	! 'launch' attrib27
Action 76	Action76	! 'lean' 'onto'/'on' object(held,have)
Action 77	Action77	! 'leave'
Action 78	Action78	! 'listen' 'for' object
				! 'listen' 'to' object
Action 79	Action79	! 'lock' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,take)
Action 80	Action80	! 'gaze'/'l//'/'look'/'stare' 'down'/'d//' attrib24
				! 'gaze'/'l//'/'look'/'stare' 'up'/'u//' attrib24
				! 'gaze'/'l//'/'look'/'stare' 'around' attrib24
				! 'gaze'/'l//'/'look'/'stare'
Action 81	Action81	! 'gaze'/'l//'/'look'/'stare' 'onto'/'on' object
Action 82	Action82	! 'gaze'/'l//'/'look'/'stare' 'undern'/'under'/'beneat'/'below' object
Action 83	Action83	! 'gaze'/'l//'/'look'/'stare' 'behind' object
Action 84	Action84	! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
				! 'read'/'skim' attrib16(held,carried,in_room,on_ground,take) 'with'/'using'/'thru'/'throug' object
				! 'read'/'skim' 'from' attrib16(held,carried,in_room,on_ground,take)
				! 'read'/'skim' attrib16(held,carried,in_room,on_ground,take)
Action 85	Action85	! 'lower' object
Action 86	Action86	! 'grease'/'lubric'/'oil' object 'with'/'using'/'thru'/'throug' object(held,carried)
Action 87	Action87	! 'make' object
Action 88	Action88	! 'liquif'/'melt' object 'with'/'using'/'thru'/'throug' attrib25(held,carried,in_room,on_ground)
Action 89	Action89	! 'move' object(in_room,on_ground)
				! 'roll' 'up'/'u//' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' 'up'/'u//' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' 'onto'/'on' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' object(in_room,on_ground)
Action 90	Action90	! 'move' object 'with'/'using'/'thru'/'throug' attrib28
				! 'press'/'push' object 'with'/'using'/'thru'/'throug' attrib28
				! 'flip'/'set'/'shut'/'turn' attrib15 'for' object
				! 'flip'/'set'/'shut'/'turn' attrib15 'to' object
				! 'flip'/'set'/'shut'/'turn' attrib15(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,have)
Action 91	Action91	! 'mumble'/'sigh'
Action 92	Action92	! 'odysse'/'ulysse'
Action 93	Action93	! 'pick' object 'with'/'using'/'thru'/'throug' object
				! 'pick' object
Action 94	Action94	! 'pick' 'up'/'u//' attrib17(on_ground,many)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(carried,in_room,many) 'from' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(carried,in_room,many) 'off' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(carried,in_room,many) 'out' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(in_room,on_ground,many)
Action 95	Action95	! 'play' object
Action 96	Action96	! 'fix'/'glue'/'patch'/'plug'/'repair' object 'with'/'using'/'thru'/'throug' object
Action 97	Action97	! 'plugh'/'xyzzy'
Action 98	Action98	! 'pour'/'spill' object(held,carried) 'onto'/'on' object
Action 99	Action99	! 'pray'
Action 100	Action100	! 'pump' 'up'/'u//' object 'with'/'using'/'thru'/'throug' object
				! 'pump' 'up'/'u//' object
Action 101	Action101	! 'press'/'push' object(in_room,on_ground) 'to' object
				! 'press'/'push' object(in_room,on_ground) object
				! 'slide' object(in_room,on_ground) 'to' object
				! 'slide' object(in_room,on_ground) object
Action 102	Action102	! 'press'/'push' 'onto'/'on' object(in_room,on_ground,many)
				! 'press'/'push' object(in_room,on_ground,many)
Action 103	Action103	! 'press'/'push' object 'undern'/'under'/'beneat'/'below' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,have) 'undern'/'under'/'beneat'/'below' object
				! 'slide' object 'undern'/'under'/'beneat'/'below' object
Action 104	Action104	! 'hide'/'insert'/'place'/'put'/'stuff' 'onto'/'on' object(carried,in_room,on_ground,many)
				! 'wear' object
Action 105	Action105	! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'behind' object
Action 106	Action106	! 'lift'/'raise' 'up'/'u//' object
				! 'lift'/'raise' object
Action 107	Action107	! 'molest'/'rape' attrib30
Action 108	Action108	! 'read'/'skim' attrib16(held,carried,in_room,on_ground,take) object
Action 109	Action109	! 'repent'
Action 110	Action110	! 'peal'/'ring' object(take) 'with'/'using'/'thru'/'throug' object
				! 'peal'/'ring' object(take)
Action 111	Action111	! 'feel'/'pat'/'pet'/'rub'/'touch' object 'with'/'using'/'thru'/'throug' object
				! 'feel'/'pat'/'pet'/'rub'/'touch' object
Action 112	Action112	! 'talk' 'to' attrib30(in_room)
				! 'ask'/'tell' attrib30(in_room) 'about' object
				! 'ask'/'tell' attrib30(in_room)
Action 113	Action113	! 'say'
Action 114	Action114	! 'search' 'into'/'inside'/'in' object
				! 'search' object
Action 115	Action115	! 'send' 'for' object
Action 116	Action116	! 'shake' object
Action 117	Action117	! 'hop'/'skip'
Action 118	Action118	! 'smell'/'sniff' object
Action 119	Action119	! 'spin' object
Action 120	Action120	! 'spray' object 'onto'/'on' object
Action 121	Action121	! 'spray' object 'with'/'using'/'thru'/'throug' object
Action 122	Action122	! 'squeez' object
Action 123	Action123	! 'stand' 'up'/'u//' attrib24
				! 'stand'
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'up'/'u//' attrib24
Action 124	Action124	! 'stay'
Action 125	Action125	! 'strike' object(held,carried,in_room,on_ground)
Action 126	Action126	! 'bathe'/'swim'/'wade' 'into'/'inside'/'in' object
				! 'bathe'/'swim'/'wade'
Action 127	Action127	! 'swing'/'thrust' attrib29(held,carried,have) 'at' attrib30(in_room,on_ground)
				! 'swing'/'thrust' attrib29(held,carried,have)
Action 128	Action128	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'with'/'using'/'thru'/'throug' attrib30(in_room,on_ground)
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'at' attrib30(in_room,on_ground)
Action 129	Action129	! 'chuck'/'hurl'/'throw'/'toss' object object
Action 130	Action130	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'over' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'off' object
Action 131	Action131	! 'attach'/'fasten'/'secure'/'tie' object 'to' object
Action 132	Action132	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,have)
Action 133	Action133	! 'temple'/'treasu'
Action 134	Action134	! 'unlock' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,take)
Action 135	Action135	! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 136	Action136	! 'wait'/'z//'
Action 137	Action137	! 'awake'/'startl'/'surpri'/'wake' 'up'/'u//' attrib30(in_room,on_ground)
				! 'awake'/'startl'/'surpri'/'wake' attrib30(in_room,on_ground)
Action 138	Action138	! 'go'/'procee'/'run'/'step'/'walk' 'away' object
				! 'go'/'procee'/'run'/'step'/'walk' object
Action 139	Action139	! 'go'/'procee'/'run'/'step'/'walk' 'to' object
Action 140	Action140	! 'go'/'procee'/'run'/'step'/'walk' 'around' object
Action 141	Action141	! 'aim'/'brandi'/'point'/'wave' 'at' object
				! 'aim'/'brandi'/'point'/'wave' object(held,carried,take,have) 'at' object
				! 'aim'/'brandi'/'point'/'wave' object(held,carried,take,have)
Action 142	Action142	! 'win'/'winnag'
Action 143	Action143	! 'wind' 'up'/'u//' object
				! 'wind' object
Action 144	Action144	! 'wish'
Action 145	Action145	! 'scream'/'shout'/'yell'
Action 146	Action146	! 'zork'

Word	$ve	$ve
Word	across	across
Word	activa	activa
Word	advent	advent
Word	alembi	alembi
Word	animal	animal
Word	answer	answer
Word	antiqu	antiqu
Word	aquari	aquari
Word	around	around
Word	attach	attach
Word	attack	attack
Word	balloo	balloo
Word	banish	banish
Word	barred	barred
Word	baseba	baseba
Word	basket	basket
Word	beauti	beauti
Word	begone	begone
Word	behind	behind
Word	beneat	beneat
Word	blessi	blessi
Word	bottle	bottle
Word	braide	braide
Word	brandi	brandi
Word	breath	breath
Word	bridge	bridge
Word	brochu	brochu
Word	broken	broken
Word	bucket	bucket
Word	button	button
Word	cabine	cabine
Word	candie	candie
Word	candle	candle
Word	cerber	cerber
Word	circle	circle
Word	cobweb	cobweb
Word	collar	collar
Word	comman	comman
Word	compas	compas
Word	consum	consum
Word	crawlw	crawlw
Word	cretin	cretin
Word	crysta	crysta
Word	curtai	curtai
Word	damage	damage
Word	deflat	deflat
Word	degree	degree
Word	delica	delica
Word	dented	dented
Word	descri	descri
Word	destro	destro
Word	diagno	diagno
Word	diamon	diamon
Word	diplom	diplom
Word	disemb	disemb
Word	disenc	disenc
Word	dispat	dispat
Word	donate	donate
Word	dragon	dragon
Word	easter	easter
Word	elvish	elvish
Word	enchan	enchan
Word	enormo	enormo
Word	etchin	etchin
Word	examin	examin
Word	except	except
Word	exorci	exorci
Word	exting	exting
Word	fantas	fantas
Word	fasten	fasten
Word	feeble	feeble
Word	fermen	fermen
Word	fierce	fierce
Word	firepr	firepr
Word	flathe	flathe
Word	flowin	flowin
Word	fluore	fluore
Word	follow	follow
Word	foobar	foobar
Word	footpa	footpa
Word	forbid	forbid
Word	forest	forest
Word	freeze	freeze
Word	froboz	froboz
Word	froste	froste
Word	fumble	fumble
Word	gazebo	gazebo
Word	glacie	glacie
Word	glamdr	glamdr
Word	glossy	glossy
Word	glowin	glowin
Word	graces	graces
Word	grassh	grassh
Word	grease	grease
Word	ground	ground
Word	guardi	guardi
Word	handso	handso
Word	headed	headed
Word	hedges	hedges
Word	homunc	homunc
Word	hungry	hungry
Word	ignite	ignite
Word	imbibe	imbibe
Word	incant	incant
Word	incine	incine
Word	inflat	inflat
Word	injure	injure
Word	insert	insert
Word	inside	inside
Word	instru	instru
Word	intnum	intnum
Word	invent	invent
Word	keeper	keeper
Word	keyhol	keyhol
Word	knives	knives
Word	lanter	lanter
Word	launch	launch
Word	leathe	leathe
Word	letter	letter
Word	liquid	liquid
Word	liquif	liquif
Word	listen	listen
Word	little	little
Word	lizard	lizard
Word	lubric	lubric
Word	lurkin	lurkin
Word	magici	magici
Word	mangle	mangle
Word	marble	marble
Word	matchb	matchb
Word	matche	matche
Word	menhir	menhir
Word	molest	molest
Word	monste	monste
Word	mortar	mortar
Word	mosses	mosses
Word	mumble	mumble
Word	murder	murder
Word	myself	myself
Word	narrow	narrow
Word	neckla	neckla
Word	newspa	newspa
Word	nicked	nicked
Word	northe	northe
Word	northw	northw
Word	oblong	oblong
Word	obsidi	obsidi
Word	odysse	odysse
Word	opener	opener
Word	orange	orange
Word	orcris	orcris
Word	packag	packag
Word	painti	painti
Word	palant	palant
Word	passag	passag
Word	pearls	pearls
Word	pentag	pentag
Word	perfec	perfec
Word	pestle	pestle
Word	phosph	phosph
Word	pierce	pierce
Word	placem	placem
Word	portra	portra
Word	pricel	pricel
Word	prince	prince
Word	procee	procee
Word	punctu	punctu
Word	purple	purple
Word	pursue	pursue
Word	quanti	quanti
Word	r2d2	r2d2
Word	ravine	ravine
Word	recept	recept
Word	releas	releas
Word	remove	remove
Word	repair	repair
Word	repell	repell
Word	repent	repent
Word	restar	restar
Word	restor	restor
Word	ribbon	ribbon
Word	ricket	ricket
Word	riddle	riddle
Word	rotten	rotten
Word	sailor	sailor
Word	sapphi	sapphi
Word	scream	scream
Word	script	script
Word	search	search
Word	secret	secret
Word	secure	secure
Word	serpen	serpen
Word	shimme	shimme
Word	silent	silent
Word	sinist	sinist
Word	sorcer	sorcer
Word	southe	southe
Word	southw	southw
Word	sphere	sphere
Word	square	square
Word	squeez	squeez
Word	stairc	stairc
Word	stairs	stairs
Word	stairw	stairw
Word	stalac	stalac
Word	stalag	stalag
Word	stands	stands
Word	startl	startl
Word	statue	statue
Word	stradi	stradi
Word	strang	strang
Word	stream	stream
Word	strike	strike
Word	string	string
Word	struct	struct
Word	superb	superb
Word	surpri	surpri
Word	swallo	swallo
Word	swords	swords
Word	teapot	teapot
Word	temple	temple
Word	throug	throug
Word	thrust	thrust
Word	treasu	treasu
Word	triang	triang
Word	trophy	trophy
Word	tunnel	tunnel
Word	ulysse	ulysse
Word	unatta	unatta
Word	undern	undern
Word	unfast	unfast
Word	unhook	unhook
Word	unicor	unicor
Word	unlock	unlock
Word	unscri	unscri
Word	vellum	vellum
Word	velvet	velvet
Word	verbos	verbos
Word	versio	versio
Word	violin	violin
Word	volcan	volcan
Word	warnin	warnin
Word	wester	wester
Word	wicker	wicker
Word	windin	windin
Word	window	window
Word	winnag	winnag
Word	wizard	wizard
Word	wooden	wooden
Word	workbe	workbe
Word	zorkmi	zorkmi
Word	zurich	zurich
Word	zzmgck	zzmgck

Routine 0x4b72	routine19314:?
! References: obj217_hedge.prop15
Routine 0x4bd2	routine19410:?
Routine 0x4c22	routine19490:?
Routine 0x4c36	routine19510:?
Routine 0x4c68	routine19560:?
Routine 0x4c92	routine19602:?
! References: obj79_hole.prop15
Routine 0x4ce6	routine19686:?
! References: obj32_china_teapot.prop15
Routine 0x4d58	routine19800:?
! References: obj27_perfect_rose.prop15
Routine 0x4d6c	routine19820:?
! References: obj16_footpad.prop15
Routine 0x4dae	routine19886:?
! References: obj15_compass.prop15
Routine 0x4dc2	routine19906:?
Routine 0x4eb2	routine20146:?
! References: obj11_such_thing.prop15
Routine 0x4ebe	routine20158:?
Routine 0x4f34	routine20276:?
Routine 0x4fbc	routine20412:?
Routine 0x4fe4	routine20452:?
Routine 0x5022	routine20514:?
! References: obj188_stairs.prop15
Routine 0x5028	routine20520:?
! References: obj9_sailor.prop15
Routine 0x504c	routine20556:?
! References: obj8_ground.prop15
Routine 0x50a8	routine20648:?
! References: obj7_lurking_grue.prop15
Routine 0x50e0	routine20704:?
! References: obj5_you.prop15, obj13_pseudo.prop15
Routine 0x5208	routine21000:?
! References: obj3_way.prop15, obj249.prop6
Routine 0x52fa	routine21242:?
! References: obj2_zorkmid.prop15
Routine 0x533c	routine21308:?
Routine 0x5394	routine21396:?
Routine 0x539e	routine21406:?
Routine 0x53b8	routine21432:?
Routine 0x53c8	routine21448:?
Routine 0x5416	routine21526:?
Routine 0x542c	routine21548:?
Routine 0x5440	routine21568:?
Routine 0x547e	routine21630:?
Routine 0x54e4	routine21732:?
Routine 0x5740	routine22336:?
Routine 0x586c	routine22636:?
Routine 0x5b9a	routine23450:?
Routine 0x5bc0	routine23488:?
Routine 0x5da8	routine23976:?
Routine 0x5e32	routine24114:?
Routine 0x5fa0	routine24480:?
Routine 0x5fca	routine24522:?
Routine 0x5fe0	routine24544:?
Routine 0x602c	routine24620:?
Routine 0x6088	routine24712:?
Routine 0x623c	routine25148:?
Routine 0x625e	routine25182:?
Routine 0x62ba	routine25274:?
Routine 0x62d4	routine25300:?
Routine 0x6344	routine25412:?
Routine 0x6370	routine25456:?
Routine 0x6384	routine25476:?
Routine 0x63e8	routine25576:?
Routine 0x640a	routine25610:?
Routine 0x6430	routine25648:?
Routine 0x643c	routine25660:?
Routine 0x64b0	routine25776:?
Routine 0x6512	routine25874:?
Routine 0x6560	routine25952:?
Routine 0x66a8	routine26280:?
Routine 0x6868	routine26728:?
Routine 0x68ca	routine26826:?
Routine 0x693c	routine26940:?
Routine 0x6a0a	routine27146:?
Routine 0x6a3e	routine27198:?
Routine 0x6aa6	routine27302:?
Routine 0x6ac4	routine27332:?
Routine 0x6ae0	routine27360:?
Routine 0x6b88	routine27528:?
Routine 0x6c12	routine27666:?
Routine 0x6c3a	routine27706:?
Routine 0x6c52	routine27730:?
Routine 0x6cbc	routine27836:?
Routine 0x6ce4	routine27876:?
Routine 0x6d0c	routine27916:?
Routine 0x6d5a	Action0Sub:?
Routine 0x6d70	Action1Sub:?
Routine 0x6d86	Action2Sub:?
Routine 0x6da0	Action4Sub:?
Routine 0x6dbc	Action5Sub:?
Routine 0x6dfe	Action6Sub:?
Routine 0x6e42	Action7Sub:?
Routine 0x6e58	Action8Sub:?
Routine 0x6e68	Action10Sub:?
Routine 0x6e9c	Action11Sub:?
Routine 0x6ed0	Action12Sub:?
Routine 0x6fa4	Action13Sub:?
Routine 0x6fdc	Action14Sub:?
Routine 0x7006	Action97Sub:?
Routine 0x701e	Action16Sub:?
Routine 0x7076	Action137Sub:?
Routine 0x70b6	Action17Sub:?
Routine 0x70d6	Action20Sub:?
Routine 0x7174	Action21Sub:?
Routine 0x719a	Action22Sub:?
Routine 0x71b4	PreAction26Sub:?
Routine 0x7222	Action26Sub:?
Routine 0x7242	Action25Sub:?
Routine 0x724c	Action27Sub:?
Routine 0x7268	Action28Sub:?
! References: obj144_aquarium.prop17
Routine 0x7294	PreAction29Sub:?
Routine 0x72cc	Action29Sub:?
Routine 0x7324	Action30Sub:?
Routine 0x7330	Action32Sub:?
Routine 0x733a	Action33Sub:?
Routine 0x7344	Action34Sub:?
Routine 0x7364	Action31Sub:?
Routine 0x7416	Action36Sub:?
Routine 0x74ae	Action37Sub:?
! References: obj60_white_book.prop17, obj61_blue_book.prop17, obj62_green_book.prop17, obj63_purple_book.prop17
Routine 0x74d2	Action38Sub:?
Routine 0x7500	Action39Sub:?
Routine 0x750c	Action41Sub:?
Routine 0x7560	Action40Sub:?
Routine 0x75f4	Action42Sub:?
Routine 0x7600	Action45Sub:?
! References: obj22_Frobozz_Magic_Grue_Repellent.prop17
Routine 0x763e	Action46Sub:?
Routine 0x768e	Action47Sub:?
Routine 0x777c	Action48Sub:?
Routine 0x7784	Action49Sub:?
Routine 0x7790	PreAction50Sub:?
Routine 0x77a0	Action50Sub:?
Routine 0x77b2	Action52Sub:?
Routine 0x78a2	routine30882:?
Routine 0x78e8	Action53Sub:?
Routine 0x78fe	Action54Sub:?
Routine 0x7a8e	routine31374:?
Routine 0x7ac0	Action55Sub:?
Routine 0x7ac8	Action57Sub:?
Routine 0x7afc	Action56Sub:?
Routine 0x7b10	Action59Sub:?
Routine 0x7b22	PreAction60Sub:?
Routine 0x7b7c	Action60Sub:?
Routine 0x7bd0	Action61Sub:?
Routine 0x7c92	Action62Sub:?
Routine 0x7c9e	Action63Sub:?
Routine 0x7ccc	PreAction64Sub:?
Routine 0x7cfa	Action64Sub:?
Routine 0x7d28	Action66Sub:?
Routine 0x7d32	Action67Sub:?
Routine 0x7d94	Action68Sub:?
Routine 0x7e1a	Action24Sub:?
Routine 0x7e2a	Action69Sub:?
Routine 0x7e58	Action71Sub:?
Routine 0x7e62	Action73Sub:?
Routine 0x7e76	Action74Sub:?
Routine 0x7e98	Action23Sub:?
Routine 0x7ee8	Action15Sub:?
Routine 0x7f4e	Action75Sub:?
Routine 0x7f7e	Action76Sub:?
Routine 0x7f8c	Action70Sub:?
Routine 0x801e	Action77Sub:?
Routine 0x8026	Action78Sub:?
Routine 0x803a	Action79Sub:?
Routine 0x8048	Action80Sub:?
Routine 0x805a	Action83Sub:?
Routine 0x806c	Action58Sub:?
Routine 0x8106	Action81Sub:?
Routine 0x8124	Action82Sub:?
Routine 0x8132	Action85Sub:?
Routine 0x813c	Action87Sub:?
Routine 0x8146	Action88Sub:?
Routine 0x8164	PreAction89Sub:?
Routine 0x818c	Action89Sub:?
Routine 0x81b8	Action91Sub:?
Routine 0x81dc	PreAction43Sub:?
Routine 0x821e	Action43Sub:?
Routine 0x8234	Action92Sub:?
Routine 0x8240	Action86Sub:?
Routine 0x825a	Action44Sub:?
Routine 0x830c	Action129Sub:?
Routine 0x8318	Action93Sub:?
Routine 0x8324	Action95Sub:?
Routine 0x8332	Action96Sub:?
Routine 0x833e	Action98Sub:?
Routine 0x83a6	Action99Sub:?
Routine 0x83ce	Action100Sub:?
Routine 0x83f2	Action102Sub:?
Routine 0x83fc	Action101Sub:?
Routine 0x840e	PreAction19Sub:?
Routine 0x841e	Action19Sub:?
Routine 0x84ea	Action105Sub:?
! References: obj5_you.prop17
Routine 0x8502	Action51Sub:?
Routine 0x8534	Action103Sub:?
Routine 0x853e	Action106Sub:?
Routine 0x8546	Action107Sub:?
Routine 0x855e	PreAction84Sub:?
Routine 0x8596	Action84Sub:?
Routine 0x85b8	Action108Sub:?
Routine 0x85c2	Action109Sub:?
Routine 0x85d6	Action18Sub:?
Routine 0x85fe	Action110Sub:?
Routine 0x8614	Action111Sub:?
Routine 0x861e	Action113Sub:?
Routine 0x8696	Action114Sub:?
Routine 0x86a4	Action115Sub:?
Routine 0x86ca	PreAction65Sub:?
