! Auto-generated by Reform.

MD5	ad3cdea88d81033fe29167688bd98c31
Action 22	Action22	! 'climb'/'scale'/'sit' 'down'/'d//' attrib26(in_room,on_ground)
				! 'go'/'procee'/'run'/'step'/'walk' 'down'/'d//' attrib26(in_room,on_ground)
Action 23	Action23	! 'climb'/'scale'/'sit' attrib26(in_room,on_ground)
Action 24	Action24	! 'lie' 'down'/'d//' attrib25
Action 25	Action25	! 'close' attrib24(held,carried,in_room,on_ground)
Action 26	Action26	! 'count' object
Action 27	Action27	! 'cross'/'ford' object
Action 28	Action28	! 'cut'/'pierce'/'slice' 'with'/'using'/'thru'/'throug' object 'with'/'using'/'thru'/'throug' attrib30(held,carried)
				! 'cut'/'pierce'/'slice' object 'with'/'using'/'thru'/'throug' attrib30(held,carried)
Action 29	Action29	! 'curse'/'damn' attrib31
				! 'curse'/'damn'
Action 30	Action30	! 'deflat' object
Action 31	Action31	! 'dig' 'into'/'inside'/'in' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,have)
				! 'dig' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,have)
				! 'dig' 'with'/'using'/'thru'/'throug' object
				! 'dig' 'into'/'inside'/'in' object
Action 32	Action32	! 'disemb' attrib29(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'off' attrib29(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'out' attrib29(on_ground)
Action 33	Action33	! 'drink'/'sip'/'swallo' object(held,carried,in_room,on_ground)
Action 34	Action34	! 'drink'/'sip'/'swallo' 'from' object(held,carried)
Action 35	Action35	! 'leave' object
				! 'drop'/'exit'/'releas' object(held,many,have)
				! 'pour'/'spill' object(held,carried) 'from' object
				! 'pour'/'spill' object(held,carried) 'into'/'inside'/'in' object
				! 'pour'/'spill' object(held,carried)
				! 'insert'/'lay'/'place'/'put'/'stuff' 'down'/'d//' object(held,many)
Action 36	Action36	! 'lean' 'onto'/'on' object(held,have)
Action 37	Action37	! 'consum'/'eat'/'taste' object(held,carried,in_room,on_ground,many)
Action 38	Action38	! 'enter'
Action 39	Action39	! 'enter' object
				! 'go'/'procee'/'run'/'step'/'walk' 'with'/'using'/'thru'/'throug' object
				! 'go'/'procee'/'run'/'step'/'walk' 'onto'/'on' object
				! 'go'/'procee'/'run'/'step'/'walk' 'into'/'inside'/'in' object
Action 40	Action40	!  object
				! 
Action 41	Action41	! 'escape' 'from' object
				! 'escape' object
Action 42	Action42	! 'descri'/'examin'/'inspec'/'what'/'whats' object
				! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many)
Action 43	Action43	! 'descri'/'examin'/'inspec'/'what'/'whats' 'onto'/'on' object(held,carried,in_room,on_ground,many)
				! 'descri'/'examin'/'inspec'/'what'/'whats' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'out' object
				! 'gaze'/'l//'/'look'/'stare'  object
				! 'gaze'/'l//'/'look'/'stare' 'with'/'using'/'thru'/'throug' object
Action 44	Action44	! 'who' object
Action 45	Action45	! 'banish'/'begone'/'drive'/'exorci' 'away' attrib31
				! 'banish'/'begone'/'drive'/'exorci' 'out' attrib31
				! 'banish'/'begone'/'drive'/'exorci' object
Action 46	Action46	! 'flip'/'set'/'shut'/'turn' 'off' attrib22(held,carried,in_room,on_ground,take)
				! 'douse'/'exting' attrib22(held,carried,in_room,on_ground,take,many,have)
				! 'blow' 'out' object
Action 47	Action47	! 'fill' attrib21(held,carried,in_room,on_ground) 'at' object
				! 'fill' attrib21(held,carried,in_room,on_ground)
				! 'fill' attrib21(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
Action 48	Action48	! 'gaze'/'l//'/'look'/'stare' 'for' object
				! 'search' 'for' object
				! 'find'/'see'/'seek'/'where' object
Action 49	Action49	! 'chase'/'come'/'follow'/'pursue' object
				! 'chase'/'come'/'follow'/'pursue'
Action 50	Action50	! 'forget'/'unlear'/'unmemo' object
Action 51	Action51	! 'donate'/'feed'/'give'/'hand'/'offer' object(held,many,have) 'to' attrib20(on_ground)
Action 52	Action52	! 'donate'/'feed'/'give'/'hand'/'offer' attrib20(on_ground) object(held,many,have)
Action 53	Action53	! 'hello'/'hi' object
				! 'hello'/'hi'
Action 54	Action54	! 'inflat' object 'with'/'using'/'thru'/'throug' attrib23(held,carried,in_room,on_ground)
Action 55	Action55	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in' object
				! 'dive'/'jump'/'leap' 'across' object
				! 'dive'/'jump'/'leap' 'over' object
				! 'dive'/'jump'/'leap'
				! 'go'/'procee'/'run'/'step'/'walk' 'over' object
Action 56	Action56	! 'bite'/'kick' object
Action 57	Action57	! 'dispat'/'kill'/'murder'/'slay'/'stab' attrib31(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib30(held,carried,have)
				! 'dispat'/'kill'/'murder'/'slay'/'stab' attrib31(in_room,on_ground)
Action 58	Action58	! 'kiss' attrib31(in_room,on_ground)
Action 59	Action59	! 'knock'/'rap' 'onto'/'on' object
				! 'knock'/'rap' 'at' object
Action 60	Action60	! 'launch' attrib29
Action 61	Action61	! 'leave'
Action 62	Action62	! 'strike' object(held,carried,in_room,on_ground)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' attrib22(held,carried,in_room,on_ground,take)
				! 'light' attrib22(held,carried,in_room,on_ground)
Action 63	Action63	! 'listen' 'for' object
				! 'listen' 'to' object
Action 64	Action64	! 'lock' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,in_room,on_ground,take)
Action 65	Action65	! 'gaze'/'l//'/'look'/'stare' 'around' attrib25
				! 'gaze'/'l//'/'look'/'stare'
Action 66	Action66	! 'gaze'/'l//'/'look'/'stare' 'undern'/'under'/'beneat'/'below' object
Action 67	Action67	! 'gaze'/'l//'/'look'/'stare' 'behind' object
Action 68	Action68	! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many) 'with'/'using'/'thru'/'throug' object
				! 'read'/'skim' attrib18(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
				! 'read'/'skim' attrib18(held,carried,in_room,on_ground)
Action 69	Action69	! 'gaze'/'l//'/'look'/'stare' object
Action 70	Action70	! 'search' 'into'/'inside'/'in' object
				! 'search' object
Action 71	Action71	! 'lower' object
Action 72	Action72	! 'liquif'/'melt' object 'with'/'using'/'thru'/'throug' attrib27(held,carried,in_room,on_ground)
Action 73	Action73	! 'roll' 'up'/'u//' object(in_room,on_ground)
				! 'move' object(in_room,on_ground)
				! 'pull'/'tug' 'onto'/'on' object(in_room,on_ground)
				! 'pull'/'tug' object(in_room,on_ground)
Action 74	Action74	! 'play' object
Action 75	Action75	! 'mumble'/'sigh'
Action 76	Action76	! 'blind'/'jab'/'poke' attrib31(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib30(held,carried,have)
				! 'break'/'crack'/'damage'/'destro'/'hatch'/'smash' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object(held,carried,take)
				! 'break'/'crack'/'damage'/'destro'/'hatch'/'smash' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object(held,carried,take)
				! 'break'/'crack'/'damage'/'destro'/'hatch'/'smash' object(in_room,on_ground)
Action 77	Action77	! 'grease'/'lubric'/'oil' object 'with'/'using'/'thru'/'throug' object(held,carried)
Action 78	Action78	! 'open' attrib24(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,in_room,on_ground,have)
				! 'open' 'up'/'u//' attrib24(held,carried,in_room,on_ground)
				! 'open' attrib24(held,carried,in_room,on_ground)
Action 79	Action79	! 'pick' object 'with'/'using'/'thru'/'throug' object
				! 'pick' object
Action 80	Action80	! 'pick' 'up'/'u//' attrib19(on_ground,many)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib19(carried,in_room,many) 'from' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib19(carried,in_room,many) 'off' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib19(carried,in_room,many) 'out' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib19(in_room,on_ground,many)
Action 81	Action81	! 'fix'/'glue'/'patch'/'plug'/'repair' object 'with'/'using'/'thru'/'throug' object
Action 82	Action82	! 'plugh'/'xyzzy'
Action 83	Action83	! 'gestur'/'point' 'to' object
				! 'gestur'/'point' 'at' object
Action 84	Action84	! 'pour'/'spill' object(held,carried) 'onto'/'on' object
Action 85	Action85	! 'pray'
Action 86	Action86	! 'pump' 'up'/'u//' object 'with'/'using'/'thru'/'throug' object
				! 'pump' 'up'/'u//' object
Action 87	Action87	! 'slide' object
				! 'press'/'push' 'onto'/'on' object(in_room,on_ground,many)
				! 'press'/'push' object(in_room,on_ground,many)
Action 88	Action88	! 'slide' object(in_room,on_ground) 'to' object
				! 'slide' object(in_room,on_ground) object
				! 'press'/'push' object(in_room,on_ground) 'to' object
				! 'press'/'push' object(in_room,on_ground) object
Action 89	Action89	! 'slide' object 'undern'/'under'/'beneat'/'below' object
				! 'press'/'push' object 'undern'/'under'/'beneat'/'below' object
				! 'insert'/'lay'/'place'/'put'/'stuff' object(held,many,have) 'undern'/'under'/'beneat'/'below' object
Action 90	Action90	! 'insert'/'lay'/'place'/'put'/'stuff' object(held,many,have) 'onto'/'on' object
Action 91	Action91	! 'wear' object
				! 'insert'/'lay'/'place'/'put'/'stuff' 'onto'/'on' object(carried,in_room,on_ground,many)
Action 92	Action92	! 'insert'/'lay'/'place'/'put'/'stuff' object(held,many,have) 'behind' object
Action 93	Action93	! 'concea'/'hide' object(held,have) 'from' object
				! 'concea'/'hide' object(held,have)
				! 'concea'/'hide'
Action 94	Action94	! 'lift'/'raise' 'up'/'u//' object
				! 'lift'/'raise' object
Action 95	Action95	! 'molest'/'rape' attrib20
Action 96	Action96	! 'reach' 'into'/'inside'/'in' object(in_room,on_ground)
Action 97	Action97	! 'repent'
Action 98	Action98	! 'feel'/'pat'/'pet'/'touch' object 'with'/'using'/'thru'/'throug' object
				! 'feel'/'pat'/'pet'/'touch' object
Action 99	Action99	! 'script'
Action 100	Action100	! 'unscri'
Action 101	Action101	! 'send' 'for' object
Action 102	Action102	! 'shake' object
Action 103	Action103	! 'nap'/'sleep'/'snooze'
Action 104	Action104	! 'hop'/'skip'
Action 105	Action105	! 'smell'/'sniff' object
Action 106	Action106	! 'spin' object
Action 107	Action107	! 'spray' object 'onto'/'on' object
Action 108	Action108	! 'spray' object 'with'/'using'/'thru'/'throug' object
Action 109	Action109	! 'squeez' object
Action 110	Action110	! 'stand' 'up'/'u//' attrib25
				! 'stand'
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'up'/'u//' attrib25
Action 111	Action111	! 'stay' object
				! 'stay'
Action 112	Action112	! 'bathe'/'swim'/'wade' 'into'/'inside'/'in' object
				! 'bathe'/'swim'/'wade'
Action 113	Action113	! 'swing'/'thrust' attrib30(held,carried,have) 'at' attrib31(in_room,on_ground)
				! 'swing'/'thrust' attrib30(held,carried,have)
Action 114	Action114	! 'tell' attrib20(in_room)
				! 'call'/'say'/'talk' 'to' attrib20(in_room)
Action 115	Action115	! 'carry'/'get'/'grab'/'hold'/'remove'/'take' object object
				! 'bring' object object
Action 116	Action116	! 'ask' object 'for' object
Action 117	Action117	! 'call'/'say'/'talk'
Action 118	Action118	! 'thank'/'thanks'
				! 'thank'/'thanks' object
Action 119	Action119	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'with'/'using'/'thru'/'throug' object(in_room,on_ground)
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'at' object(in_room,on_ground)
Action 120	Action120	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'over' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'off' object
Action 121	Action121	! 'attach'/'fasten'/'secure'/'tie' object 'to' object
Action 122	Action122	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib20(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,in_room,on_ground,have)
Action 123	Action123	! 'flip'/'set'/'shut'/'turn' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,in_room,on_ground,have)
				! 'flip'/'set'/'shut'/'turn' object
				! 'flip'/'set'/'shut'/'turn' object 'for' object
				! 'flip'/'set'/'shut'/'turn' object 'to' object
Action 124	Action124	! 'unlock' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib23(held,carried,in_room,on_ground,take)
Action 125	Action125	! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 126	Action126	! 'wait'/'z//'
Action 127	Action127	! 'wait'/'z//' 'for' object
Action 128	Action128	! 'awake'/'startl'/'surpri'/'wake' 'up'/'u//' object
				! 'awake'/'startl'/'surpri'/'wake' object
Action 129	Action129	! 'fly' object
				! 'go'/'procee'/'run'/'step'/'walk' object
Action 130	Action130	! 'go'/'procee'/'run'/'step'/'walk' 'around' object
Action 131	Action131	! 'go'/'procee'/'run'/'step'/'walk' 'to' object
Action 132	Action132	! 'beckon'/'brandi'/'motion'/'wave' object(held,carried)
Action 133	Action133	! 'beckon'/'brandi'/'motion'/'wave' object(held,carried) 'at' object
				! 'beckon'/'brandi'/'motion'/'wave' 'to' object
				! 'beckon'/'brandi'/'motion'/'wave' 'at' object
				! 'scream'/'shout'/'yell' 'at' object
Action 134	Action134	! 'wind' 'up'/'u//' object
				! 'wind' object
Action 135	Action135	! 'scream'/'shout'/'yell'
Action 136	Action136	! 'zork'
Action 137	Action137	! 'show' object 'to' object
Action 138	Action138	! 'show' object object
Action 139	Action139	! 'draw'/'make' 'onto'/'on' object 'with'/'using'/'thru'/'throug' object
				! 'draw'/'make' 'onto'/'on' object
Action 140	Action140	! 'draw'/'make' 'going'/'betwee' object(many) 'with'/'using'/'thru'/'throug' object
				! 'draw'/'make' 'going'/'betwee' object(many)
				! 'draw'/'make' 'from' object(many) 'with'/'using'/'thru'/'throug' object
				! 'draw'/'make' 'from' object(many)
				! 'connec' object(many) 'with'/'using'/'thru'/'throug' object
				! 'connec' object(many)
Action 141	Action141	! 'draw'/'make' 'going'/'betwee' object 'to' object
				! 'draw'/'make' 'from' object 'to' object
				! 'connec' object 'to' object
Action 142	Action142	! 'discon'/'erase'/'rub' object(many)
				! 'discon'/'erase'/'rub' 'going'/'betwee' object(many) 'with'/'using'/'thru'/'throug' object
				! 'discon'/'erase'/'rub' 'going'/'betwee' object(many)
				! 'discon'/'erase'/'rub' 'out' object(many) 'with'/'using'/'thru'/'throug' object
				! 'discon'/'erase'/'rub' 'out' object(many)
				! 'discon'/'erase'/'rub' 'from' object(many) 'with'/'using'/'thru'/'throug' object
				! 'discon'/'erase'/'rub' 'from' object(many)
Action 143	Action143	! 'discon'/'erase'/'rub' 'going'/'betwee' object 'to' object
				! 'discon'/'erase'/'rub' 'from' object 'to' object
Action 144	Action144	! 'cast'/'incant' object 'at' object
				! 'cast'/'incant' object 'onto'/'on' object
				! 'cast'/'incant' object
Action 145	Action145	! 'learn' object(many)
Action 146	Action146	! 'memori' object(many)
Action 147	Action147	! 'spells'
Action 148	Action148	! 'gondar' object
Action 149	Action149	! 'gnusto' object
Action 150	Action150	! 'frotz' object
Action 151	Action151	! 'ozmoo' object
Action 152	Action152	! 'zifmia' object
Action 153	Action153	! 'vaxum' object
Action 154	Action154	! 'rezrov' object
Action 155	Action155	! 'nitfol' object
Action 156	Action156	! 'exex' object
Action 157	Action157	! 'kulcad' object
Action 158	Action158	! 'melbor' object
Action 159	Action159	! 'blorb' object
Action 160	Action160	! 'guncho' object
Action 161	Action161	! 'krebf' object
				! 'krebf'
Action 162	Action162	! 'cleesh' object
Action 163	Action163	! 'izyuk' object
Action 164	Action164	! 'filfre' object
				! 'filfre'
Action 165	Action165	! 't//'/'time'
Action 166	Action166	! 'write' 'with'/'using'/'thru'/'throug' object
Action 167	Action167	! 'write' 'onto'/'on' object 'with'/'using'/'thru'/'throug' object
				! 'write' 'onto'/'on' object
Action 168	Action168	! 'hone'/'sharpe' object 'with'/'using'/'thru'/'throug' attrib23(have)
Action 169	Action169	! 'avoid' object
				! 'go'/'procee'/'run'/'step'/'walk' 'behind' object
				! 'go'/'procee'/'run'/'step'/'walk' 'undern'/'under'/'beneat'/'below' object
Action 170	Action170	! 'gag' object 'with'/'using'/'thru'/'throug' object
Action 171	Action171	! 'gross' 'out' object
Action 172	Action172	! '#rand' object
Action 173	Action173	! '#comm'
Action 174	Action174	! '#reco'
Action 175	Action175	! '#unre'

Word	$ve	$ve
Word	#comm	#comm
Word	#rand	#rand
Word	#reco	#reco
Word	#unre	#unre
Word	across	across
Word	advent	advent
Word	ancien	ancien
Word	answer	answer
Word	arcane	arcane
Word	archwa	archwa
Word	around	around
Word	attach	attach
Word	attack	attack
Word	banish	banish
Word	banque	banque
Word	batter	batter
Word	beauti	beauti
Word	beckon	beckon
Word	bedpos	bedpos
Word	bedrag	bedrag
Word	begone	begone
Word	behind	behind
Word	beings	beings
Word	belboz	belboz
Word	benche	benche
Word	beneat	beneat
Word	betwee	betwee
Word	blinki	blinki
Word	bluebo	bluebo
Word	brambl	brambl
Word	branch	branch
Word	brandi	brandi
Word	brittl	brittl
Word	broken	broken
Word	button	button
Word	cabine	cabine
Word	candle	candle
Word	canvas	canvas
Word	carvin	carvin
Word	castle	castle
Word	ceilin	ceilin
Word	chains	chains
Word	chests	chests
Word	cleesh	cleesh
Word	cobweb	cobweb
Word	compar	compar
Word	concea	concea
Word	connec	connec
Word	consum	consum
Word	contro	contro
Word	corrid	corrid
Word	couple	couple
Word	courty	courty
Word	crumpl	crumpl
Word	crysta	crysta
Word	cutler	cutler
Word	dagger	dagger
Word	damage	damage
Word	decora	decora
Word	decrep	decrep
Word	deflat	deflat
Word	delici	delici
Word	descri	descri
Word	destro	destro
Word	diagno	diagno
Word	diamon	diamon
Word	dimwit	dimwit
Word	discon	discon
Word	disemb	disemb
Word	dispat	dispat
Word	displa	displa
Word	donate	donate
Word	dragon	dragon
Word	drippi	drippi
Word	dronin	dronin
Word	elvish	elvish
Word	emeral	emeral
Word	enamel	enamel
Word	enchan	enchan
Word	enormo	enormo
Word	enthar	enthar
Word	entran	entran
Word	eraser	eraser
Word	escape	escape
Word	examin	examin
Word	except	except
Word	exorci	exorci
Word	exting	exting
Word	faberg	faberg
Word	fasten	fasten
Word	feathe	feathe
Word	festiv	festiv
Word	figure	figure
Word	filfre	filfre
Word	five-	five-
Word	fixtur	fixtur
Word	flames	flames
Word	flathe	flathe
Word	floati	floati
Word	flotsa	flotsa
Word	follow	follow
Word	foobar	foobar
Word	forest	forest
Word	forget	forget
Word	format	format
Word	founda	founda
Word	fourpo	fourpo
Word	frayed	frayed
Word	froboz	froboz
Word	garbag	garbag
Word	gargoy	gargoy
Word	gestur	gestur
Word	glitte	glitte
Word	glowin	glowin
Word	gnusto	gnusto
Word	golden	golden
Word	gondar	gondar
Word	graffi	graffi
Word	grease	grease
Word	gropin	gropin
Word	ground	ground
Word	guarde	guarde
Word	guards	guards
Word	guncho	guncho
Word	guttur	guttur
Word	hammer	hammer
Word	handle	handle
Word	heathe	heathe
Word	hideou	hideou
Word	huddle	huddle
Word	hunche	hunche
Word	ignite	ignite
Word	illumi	illumi
Word	implem	implem
Word	incant	incant
Word	inflat	inflat
Word	injure	injure
Word	insert	insert
Word	inside	inside
Word	inspec	inspec
Word	intnum	intnum
Word	invent	invent
Word	jetsam	jetsam
Word	jewell	jewell
Word	knives	knives
Word	kulcad	kulcad
Word	labyri	labyri
Word	lanter	lanter
Word	launch	launch
Word	legend	legend
Word	letter	letter
Word	lighte	lighte
Word	lights	lights
Word	lilies	lilies
Word	lingol	lingol
Word	liquif	liquif
Word	listen	listen
Word	lonely	lonely
Word	lubric	lubric
Word	lurkin	lurkin
Word	luscio	luscio
Word	machin	machin
Word	massiv	massiv
Word	meadow	meadow
Word	melbor	melbor
Word	memori	memori
Word	mirror	mirror
Word	molest	molest
Word	monste	monste
Word	motion	motion
Word	mounta	mounta
Word	mumble	mumble
Word	murder	murder
Word	myself	myself
Word	necrom	necrom
Word	nitfol	nitfol
Word	noises	noises
Word	orname	orname
Word	ornate	ornate
Word	outlin	outlin
Word	painti	painti
Word	parchm	parchm
Word	passag	passag
Word	pedest	pedest
Word	pencil	pencil
Word	person	person
Word	pierce	pierce
Word	please	please
Word	portra	portra
Word	potter	potter
Word	powerf	powerf
Word	presen	presen
Word	prison	prison
Word	procee	procee
Word	purple	purple
Word	pursue	pursue
Word	quanti	quanti
Word	rainbo	rainbo
Word	releas	releas
Word	remove	remove
Word	repair	repair
Word	repent	repent
Word	restar	restar
Word	restor	restor
Word	rezrov	rezrov
Word	rolled	rolled
Word	rollin	rollin
Word	rotted	rotted
Word	rottin	rottin
Word	ruined	ruined
Word	rusted	rusted
Word	sacrif	sacrif
Word	scramb	scramb
Word	scratc	scratc
Word	scream	scream
Word	screec	screec
Word	scribb	scribb
Word	script	script
Word	scroll	scroll
Word	search	search
Word	seawee	seawee
Word	secure	secure
Word	shapes	shapes
Word	shards	shards
Word	sharpe	sharpe
Word	shells	shells
Word	shifti	shifti
Word	shredd	shredd
Word	silver	silver
Word	simple	simple
Word	six-i	six-i
Word	skelet	skelet
Word	snooze	snooze
Word	spears	spears
Word	spells	spells
Word	spiral	spiral
Word	spring	spring
Word	square	square
Word	squeez	squeez
Word	staine	staine
Word	stairs	stairs
Word	stairw	stairw
Word	stalki	stalki
Word	startl	startl
Word	statue	statue
Word	strand	strand
Word	strike	strike
Word	strong	strong
Word	stunte	stunte
Word	superb	superb
Word	surpri	surpri
Word	swallo	swallo
Word	tables	tables
Word	talons	talons
Word	temple	temple
Word	tentac	tentac
Word	terror	terror
Word	thanks	thanks
Word	thistl	thistl
Word	throug	throug
Word	thrust	thrust
Word	tongue	tongue
Word	towers	towers
Word	tracks	tracks
Word	transl	transl
Word	tunnel	tunnel
Word	turret	turret
Word	turtle	turtle
Word	unatta	unatta
Word	underg	underg
Word	undern	undern
Word	unfast	unfast
Word	unhook	unhook
Word	unknow	unknow
Word	unlear	unlear
Word	unlock	unlock
Word	unmemo	unmemo
Word	unscri	unscri
Word	unseen	unseen
Word	vellum	vellum
Word	verbos	verbos
Word	versio	versio
Word	voices	voices
Word	warloc	warloc
Word	windin	windin
Word	window	window
Word	wizard	wizard
Word	wooden	wooden
Word	writin	writin
Word	zifmia	zifmia
Word	zzmgck	zzmgck

Routine 0x514e	routine20814:?
Routine 0x5166	routine20838:?
Routine 0x5176	routine20854:?
Routine 0x51c4	routine20932:?
Routine 0x51d8	routine20952:?
Routine 0x5216	routine21014:?
Routine 0x5276	routine21110:?
Routine 0x55fc	routine22012:?
Routine 0x586c	routine22636:?
Routine 0x596e	routine22894:?
Routine 0x5b1e	routine23326:?
Routine 0x5e56	routine24150:?
Routine 0x5e7c	routine24188:?
Routine 0x604e	routine24654:?
Routine 0x60d8	routine24792:?
Routine 0x61d0	routine25040:?
Routine 0x61f0	routine25072:?
Routine 0x6206	routine25094:?
Routine 0x6246	routine25158:?
Routine 0x6286	routine25222:?
Routine 0x6430	routine25648:?
Routine 0x6454	routine25684:?
Routine 0x64b0	routine25776:?
Routine 0x64ca	routine25802:?
Routine 0x653a	routine25914:?
Routine 0x654e	routine25934:?
Routine 0x65b2	routine26034:?
Routine 0x65d4	routine26068:?
Routine 0x65fa	routine26106:?
Routine 0x6606	routine26118:?
Routine 0x6656	routine26198:?
Routine 0x66b8	routine26296:?
Routine 0x6706	routine26374:?
Routine 0x684e	routine26702:?
Routine 0x6a24	routine27172:?
Routine 0x6a8a	routine27274:?
Routine 0x6afc	routine27388:?
Routine 0x6bca	routine27594:?
Routine 0x6bfe	routine27646:?
Routine 0x6c66	routine27750:?
Routine 0x6c84	routine27780:?
Routine 0x6ca0	routine27808:?
Routine 0x6d24	routine27940:?
Routine 0x6dae	routine28078:?
Routine 0x6dd6	routine28118:?
Routine 0x6dee	routine28142:?
Routine 0x6e6a	routine28266:?
Routine 0x6e92	routine28306:?
Routine 0x6eba	routine28346:?
Routine 0x6f08	Action11Sub:?
Routine 0x6f1e	Action0Sub:?
Routine 0x6f34	Action1Sub:?
Routine 0x6f4e	Action65Sub:?
Routine 0x6f6e	routine28526:?
Routine 0x6f80	Action42Sub:?
Routine 0x6fb4	routine28596:?
Routine 0x7132	routine28978:?
Routine 0x7164	routine29028:?
Routine 0x7180	routine29056:?
Routine 0x7264	routine29284:?
Routine 0x7376	routine29558:?
Routine 0x73ce	Action8Sub:?
Routine 0x744c	routine29772:?
Routine 0x750a	Action4Sub:?
Routine 0x754c	routine30028:?
Routine 0x7564	Action10Sub:?
Routine 0x7624	Action12Sub:?
Routine 0x7684	routine30340:?
Routine 0x7c06	routine31750:?
Routine 0x7c24	routine31780:?
Routine 0x7c4e	Action6Sub:?
Routine 0x7c64	Action7Sub:?
Routine 0x7c74	Action5Sub:?
Routine 0x7cb8	Action130Sub:?
Routine 0x7cc0	routine31936:?
Routine 0x7ce4	Action60Sub:?
Routine 0x7d1c	Action129Sub:?
Routine 0x7e6c	routine32364:?
Routine 0x7e78	Action3Sub:?
Routine 0x7e94	PreAction80Sub:?
Routine 0x7ef8	Action80Sub:?
Routine 0x7f0a	routine32522:?
Routine 0x7fb6	Action90Sub:?
Routine 0x7fd8	PreAction15Sub:?
Routine 0x7fea	Action15Sub:?
Routine 0x808e	PreAction51Sub:?
Routine 0x80b8	PreAction52Sub:?
Routine 0x80c2	routine32962:?
! References: obj254_various_and_sundry_items.prop19
Routine 0x80de	Action51Sub:?
Routine 0x8110	Action52Sub:?
Routine 0x811a	Action35Sub:?
Routine 0x812c	Action119Sub:?
Routine 0x813c	routine33084:?
Routine 0x817c	Action78Sub:?
Routine 0x8238	routine33336:?
Routine 0x826a	Action25Sub:?
Routine 0x82e6	routine33510:?
Routine 0x82fa	routine33530:?
Routine 0x831e	Action99Sub:?
Routine 0x833a	Action100Sub:?
Routine 0x8358	PreAction73Sub:?
! References: obj147_north_cell_door.prop19, obj152_simple_wooden_door.prop19, obj202_cell_door.prop19, obj230_guarded_door.prop19, obj251_south_cell_door.prop19
Routine 0x837e	Action73Sub:?
Routine 0x83aa	Action62Sub:?
Routine 0x83ea	Action46Sub:?
Routine 0x8476	Action126Sub:?
Routine 0x849c	Action127Sub:?
Routine 0x84ca	PreAction18Sub:?
Routine 0x8500	Action18Sub:?
Routine 0x8520	Action32Sub:?
Routine 0x8548	routine34120:?
Routine 0x8646	routine34374:?
Routine 0x8658	Action17Sub:?
Routine 0x8660	Action84Sub:?
! References: obj85_oven.prop19
Routine 0x8672	Action107Sub:?
Routine 0x867a	Action108Sub:?
Routine 0x8684	Action109Sub:?
Routine 0x86b8	PreAction77Sub:?
Routine 0x86d6	Action77Sub:?
Routine 0x86e6	Action82Sub:?
Routine 0x86fe	Action33Sub:?
Routine 0x87e6	Action37Sub:?
Routine 0x8806	Action29Sub:?
Routine 0x884a	Action63Sub:?
Routine 0x885e	Action49Sub:?
Routine 0x8866	Action111Sub:?
! References: obj228_shards_of_glass.prop19
Routine 0x8878	Action85Sub:?
Routine 0x8898	Action55Sub:?
